<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20200514,000000,186.4900000,188.2000000,183.5000000,183.8100000,76532900
SBER,D,20200515,000000,186.1300000,186.7800000,183.3300000,183.8500000,63033850
SBER,D,20200518,000000,186.0600000,190.0000000,185.4000000,188.9300000,77252650
SBER,D,20200519,000000,190.3800000,192.5500000,186.8000000,189.0000000,105168650
SBER,D,20200520,000000,188.4500000,193.9800000,186.6000000,193.9800000,93311880
SBER,D,20200521,000000,194.0000000,196.3100000,191.5000000,192.4000000,79390610
SBER,D,20200522,000000,190.9700000,191.2500000,188.6000000,188.9000000,56926660
SBER,D,20200525,000000,189.6200000,191.3100000,188.8000000,191.0000000,23090830
SBER,D,20200526,000000,192.8300000,196.1000000,192.1100000,194.0000000,79038520
SBER,D,20200527,000000,194.0100000,198.9700000,193.3200000,198.5100000,115900270
SBER,D,20200528,000000,199.3300000,205.0000000,198.4000000,205.0000000,117073600
SBER,D,20200529,000000,204.2000000,204.4000000,199.1700000,200.5000000,106525280
SBER,D,20200601,000000,203.1000000,205.9300000,201.8100000,203.6600000,65100110
SBER,D,20200602,000000,204.5700000,212.0000000,204.0000000,212.0000000,116798700
SBER,D,20200603,000000,214.0000000,221.9200000,213.5100000,221.5000000,144505760
SBER,D,20200604,000000,220.6700000,221.0000000,212.5500000,213.1000000,122406780
SBER,D,20200605,000000,215.1300000,219.9300000,213.6000000,219.1000000,88508590
SBER,D,20200608,000000,219.7300000,223.1500000,217.4500000,220.3000000,88612450
SBER,D,20200609,000000,221.1900000,221.8800000,215.4400000,217.2300000,69097350
SBER,D,20200610,000000,217.0000000,217.5800000,211.8200000,212.5300000,91851980
SBER,D,20200611,000000,208.9900000,209.2400000,206.0100000,208.3500000,69726170
SBER,D,20200615,000000,205.0700000,207.8500000,202.3000000,207.3200000,75360850
SBER,D,20200616,000000,210.3000000,212.1900000,207.5200000,207.7600000,66267920
SBER,D,20200617,000000,208.5200000,210.3500000,206.9400000,208.1400000,56455710
SBER,D,20200618,000000,207.8000000,208.1000000,202.7200000,203.7700000,72204680
SBER,D,20200619,000000,205.3900000,209.2000000,204.5500000,207.0000000,74923730
SBER,D,20200622,000000,206.7000000,207.9500000,204.2800000,206.4000000,58621480
SBER,D,20200623,000000,207.5100000,209.7400000,206.4300000,207.3000000,53213440
SBER,D,20200625,000000,200.9900000,207.0000000,200.7500000,206.9200000,70420930
SBER,D,20200626,000000,206.9700000,207.5000000,201.7600000,203.1500000,46627040
SBER,D,20200629,000000,201.0900000,205.8600000,200.9700000,205.8000000,42613600
